year,Total carbon emissions from fossil fuel consumption and cement production (million metric tons of C),Total carbon emissions (in pg)
1750,3,0.003
1751,3,0.003
1752,3,0.003
1753,3,0.003
1754,3,0.003
1755,3,0.003
1756,3,0.003
1757,3,0.003
1758,3,0.003
1759,3,0.003
1760,3,0.003
1761,3,0.003
1762,3,0.003
1763,3,0.003
1764,3,0.003
1765,3,0.003
1766,3,0.003
1767,3,0.003
1768,3,0.003
1769,3,0.003
1770,3,0.003
1771,4,0.004
1772,4,0.004
1773,4,0.004
1774,4,0.004
1775,4,0.004
1776,4,0.004
1777,4,0.004
1778,4,0.004
1779,4,0.004
1780,4,0.004
1781,5,0.005
1782,5,0.005
1783,5,0.005
1784,5,0.005
1785,5,0.005
1786,5,0.005
1787,5,0.005
1788,5,0.005
1789,5,0.005
1790,5,0.005
1791,6,0.006
1792,6,0.006
1793,6,0.006
1794,6,0.006
1795,6,0.006
1796,6,0.006
1797,7,0.007
1798,7,0.007
1799,7,0.007
1800,8,0.008
1801,8,0.008
1802,10,0.01
1803,9,0.009
1804,9,0.009
1805,9,0.009
1806,10,0.01
1807,10,0.01
1808,10,0.01
1809,10,0.01
1810,10,0.01
1811,11,0.011
1812,11,0.011
1813,11,0.011
1814,11,0.011
1815,12,0.012
1816,13,0.013
1817,14,0.014
1818,14,0.014
1819,14,0.014
1820,14,0.014
1821,14,0.014
1822,15,0.015
1823,16,0.016
1824,16,0.016
1825,17,0.017
1826,17,0.017
1827,18,0.018
1828,18,0.018
1829,18,0.018
1830,24,0.024
1831,23,0.023
1832,23,0.023
1833,24,0.024
1834,24,0.024
1835,25,0.025
1836,29,0.029
1837,29,0.029
1838,30,0.03
1839,31,0.031
1840,33,0.033
1841,34,0.034
1842,36,0.036
1843,37,0.037
1844,39,0.039
1845,43,0.043
1846,43,0.043
1847,46,0.046
1848,47,0.047
1849,50,0.05
1850,54,0.054
1851,54,0.054
1852,57,0.057
1853,59,0.059
1854,69,0.069
1855,71,0.071
1856,76,0.076
1857,77,0.077
1858,78,0.078
1859,83,0.083
1860,91,0.091
1861,95,0.095
1862,97,0.097
1863,104,0.104
1864,112,0.112
1865,119,0.119
1866,122,0.122
1867,130,0.13
1868,135,0.135
1869,142,0.142
1870,147,0.147
1871,156,0.156
1872,173,0.173
1873,184,0.184
1874,174,0.174
1875,188,0.188
1876,191,0.191
1877,194,0.194
1878,196,0.196
1879,210,0.21
1880,236,0.236
1881,243,0.243
1882,256,0.256
1883,272,0.272
1884,275,0.275
1885,277,0.277
1886,281,0.281
1887,295,0.295
1888,327,0.327
1889,327,0.327
1890,356,0.356
1891,372,0.372
1892,374,0.374
1893,370,0.37
1894,383,0.383
1895,406,0.406
1896,419,0.419
1897,440,0.44
1898,465,0.465
1899,507,0.507
1900,534,0.534
1901,552,0.552
1902,566,0.566
1903,617,0.617
1904,624,0.624
1905,663,0.663
1906,707,0.707
1907,784,0.784
1908,750,0.75
1909,785,0.785
1910,819,0.819
1911,836,0.836
1912,879,0.879
1913,943,0.943
1914,850,0.85
1915,838,0.838
1916,901,0.901
1917,955,0.955
1918,936,0.936
1919,806,0.806
1920,932,0.932
1921,803,0.803
1922,845,0.845
1923,970,0.97
1924,963,0.963
1925,975,0.975
1926,983,0.983
1927,1062,1.062
1928,1065,1.065
1929,1145,1.145
1930,1053,1.053
1931,940,0.94
1932,847,0.847
1933,893,0.893
1934,973,0.973
1935,1027,1.027
1936,1130,1.13
1937,1209,1.209
1938,1142,1.142
1939,1192,1.192
1940,1299,1.299
1941,1334,1.334
1942,1342,1.342
1943,1391,1.391
1944,1383,1.383
1945,1160,1.16
1946,1238,1.238
1947,1392,1.392
1948,1469,1.469
1949,1419,1.419
1950,1630,1.63
1951,1767,1.767
1952,1795,1.795
1953,1841,1.841
1954,1865,1.865
1955,2042,2.042
1956,2177,2.177
1957,2270,2.27
1958,2330,2.33
1959,2454,2.454
1960,2569,2.569
1961,2580,2.58
1962,2686,2.686
1963,2833,2.833
1964,2995,2.995
1965,3130,3.13
1966,3288,3.288
1967,3393,3.393
1968,3566,3.566
1969,3780,3.78
1970,4053,4.053
1971,4208,4.208
1972,4376,4.376
1973,4614,4.614
1974,4623,4.623
1975,4596,4.596
1976,4864,4.864
1977,5016,5.016
1978,5074,5.074
1979,5357,5.357
1980,5301,5.301
1981,5138,5.138
1982,5094,5.094
1983,5075,5.075
1984,5258,5.258
1985,5417,5.417
1986,5583,5.583
1987,5725,5.725
1988,5936,5.936
1989,6066,6.066
1990,6074,6.074
1991,6142,6.142
1992,6078,6.078
1993,6070,6.07
1994,6174,6.174
1995,6305,6.305
1996,6448,6.448
1997,6556,6.556
1998,6576,6.576
1999,6561,6.561
2000,6733,6.733
2001,6893,6.893
2002,6994,6.994
2003,7376,7.376
2004,7743,7.743
2005,8042,8.042
2006,8336,8.336
2007,8503,8.503
2008,8776,8.776
2009,8697,8.697
2010,9128,9.128
2011,9503,9.503
2012,9673,9.673
2013,9773,9.773
2014,9855,9.855
